sample_id	organelle	best_k	species	popcode	population_name	plot_group	cluster_1	cluster_2	cluster_3	cluster_4	cluster_5	cluster_6	cluster_7	cluster_8
CY_WOO_LP_260_Du-665	mtDNA	8	D. cymosa	CY_WOO	Hicks & Woods Rd.	D. cymosa_CY_WOO	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.99993000
CY_WOO_LP_261_Du-667	mtDNA	8	D. cymosa	CY_WOO	Hicks & Woods Rd.	D. cymosa_CY_WOO	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.99993000
CY_WOO_LP_262_Du-668	mtDNA	8	D. cymosa	CY_WOO	Hicks & Woods Rd.	D. cymosa_CY_WOO	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.99993000
CY_WOO_LP_263_Du-669	mtDNA	8	D. cymosa	CY_WOO	Hicks & Woods Rd.	D. cymosa_CY_WOO	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.99993000
BAI_LP_105_Du-222	mtDNA	8	D. setchellii	BAI	Baird Ridgeline	D. setchellii_BAI	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.99993000
BAI_LP_106_Du-223	mtDNA	8	D. setchellii	BAI	Baird Ridgeline	D. setchellii_BAI	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.99993000
BAI_LP_108_Du-225	mtDNA	8	D. setchellii	BAI	Baird Ridgeline	D. setchellii_BAI	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.99993000
BAI_LP_109_Du-226	mtDNA	8	D. setchellii	BAI	Baird Ridgeline	D. setchellii_BAI	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.99993000
BAI_LP_110_Du-227	mtDNA	8	D. setchellii	BAI	Baird Ridgeline	D. setchellii_BAI	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.99993000
BAI_LP_111_Du-228	mtDNA	8	D. setchellii	BAI	Baird Ridgeline	D. setchellii_BAI	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.99993000
BAI_LP_112_Du-230	mtDNA	8	D. setchellii	BAI	Baird Ridgeline	D. setchellii_BAI	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.99993000
BAI_LP_113_Du-231	mtDNA	8	D. setchellii	BAI	Baird Ridgeline	D. setchellii_BAI	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.99993000
BAI_LP_114_Du-232	mtDNA	8	D. setchellii	BAI	Baird Ridgeline	D. setchellii_BAI	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.99993000
BAI_LP_319_Du-233	mtDNA	8	D. setchellii	BAI	Baird Ridgeline	D. setchellii_BAI	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.99993000
COM_LP_269_Du-703	mtDNA	8	D. setchellii	COM	Communication Hill	D. setchellii_COM	0.00001000	0.00001000	0.21709200	0.00001000	0.78284800	0.00001000	0.00001000	0.00001000
COM_LP_270_Du-704	mtDNA	8	D. setchellii	COM	Communication Hill	D. setchellii_COM	0.00001000	0.00001000	0.13270300	0.00001000	0.86723700	0.00001000	0.00001000	0.00001000
COM_LP_272_Du-707	mtDNA	8	D. setchellii	COM	Communication Hill	D. setchellii_COM	0.00001000	0.00001000	0.13270300	0.00001000	0.86723700	0.00001000	0.00001000	0.00001000
