sample_id	repeat_mask_mean_depth	unique_sites_mean_depth	repeat_to_unique_mean_depth_ratio	interpretation
KIRT_LP_163_Du-368	0.21319474	26.82220048	0.00794844	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
KIRT_LP_164_Du-369	0.19847111	27.54420524	0.00720555	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
KIRT_LP_165_Du-370	0.44080244	48.83966559	0.00902550	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
KIRT_LP_166_Du-371	0.29027609	29.82130701	0.00973385	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
KIRT_LP_167_Du-372	0.10577486	15.69022294	0.00674145	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
KIRT_LP_168_Du-373	0.36455633	44.15944095	0.00825546	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
MALV_LP_095_Du-201	4.83775484	700.74215027	0.00690376	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
MALV_LP_096_Du-202	1.37170679	147.92011998	0.00927329	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
MALV_LP_097_Du-203	3.63860128	495.52720813	0.00734289	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
MALV_LP_098_Du-204	1.36294187	209.52893125	0.00650479	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
MALV_LP_099_Du-205	0.69181720	121.86074711	0.00567711	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
MALV_LP_100_Du-206	1.40478531	213.30562883	0.00658579	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
MALV_LP_101_Du-207	1.36409797	219.66660994	0.00620986	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
MALV_LP_102_Du-208	2.08784269	295.30265061	0.00707018	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
MALV_LP_103_Du-209	2.75410871	445.08019912	0.00618789	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
MALV_LP_104_Du-210	1.08325906	147.57564670	0.00734036	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
OCO_LP_058_Du-115	0.05152507	17.31492512	0.00297576	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
OCO_LP_059_Du-106	0.07929677	24.02484683	0.00330061	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
OCO_LP_060_Du-107	0.08104873	21.55211879	0.00376059	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
OCO_LP_061_Du-108	0.33136577	91.29018465	0.00362981	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
OCO_LP_062_Du-109	0.28434793	70.60276974	0.00402743	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
OCO_LP_063_Du-110	0.12335562	31.09643039	0.00396687	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
OCO_LP_064_Du-111	0.08089085	26.56335092	0.00304521	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
OCO_LP_065_Du-112	0.07189166	19.67941627	0.00365314	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
OCO_LP_066_Du-113	0.02985470	14.40837730	0.00207204	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
OCO_LP_067_Du-114	0.02922827	10.65914312	0.00274208	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
QUI1_LP_249_Du-648	0.17409639	46.84049523	0.00371679	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
QUI1_LP_250_Du-649	0.19448844	57.37648911	0.00338969	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
QUI1_LP_252_Du-651	0.15984640	50.29377978	0.00317825	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
QUI1_LP_253_Du-652	0.48425524	116.60878999	0.00415282	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
QUI1_LP_254_Du-653	0.03448926	9.26406144	0.00372291	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
QUI1_LP_255_Du-654	0.16860622	41.73000340	0.00404041	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
QUI1_LP_257_Du-656	0.04320834	14.53890827	0.00297191	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
QUI1_LP_258_Du-657	0.36429150	70.00138274	0.00520406	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
QUI2_LP_243_Du-631	0.55895310	112.84919588	0.00495310	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
QUI2_LP_244_Du-632	0.07843607	19.37129850	0.00404909	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
QUI2_LP_245_Du-633	0.21963219	67.27803778	0.00326455	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
QUI2_LP_246_Du-634	0.19643903	45.72215368	0.00429636	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
QUI2_LP_247_Du-635	0.46324185	114.89854918	0.00403175	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
QUI2_LP_248_Du-636	0.48690356	115.76969877	0.00420579	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
QUI2_LP_337_Du-638	0.18993537	67.94979578	0.00279523	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
QUI2_LP_338_Du-639	0.04303518	14.73498128	0.00292061	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
QUI2_LP_339_Du-640	0.34817241	76.04605599	0.00457844	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
QUI2_LP_340_Du-641	0.48132171	131.42773570	0.00366225	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
QUIN_LP_069_Du-155	0.08018803	21.97053693	0.00364980	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
QUIN_LP_070_Du-156	0.09314951	36.46179374	0.00255472	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
QUIN_LP_071_Du-157	0.10451182	29.82864619	0.00350374	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
QUIN_LP_072_Du-158	0.08308590	30.44613683	0.00272895	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
QUIN_LP_073_Du-159	0.29462544	90.71268720	0.00324790	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
QUIN_LP_074_Du-160	0.12427744	28.75625425	0.00432175	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
QUIN_LP_075_Du-161	1.95978121	266.94711538	0.00734146	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
