sample_id	organelle	pc1	pc2	species	popcode	population_name	naming_profile	plot_group
DUD_LP_134_Du-285	mtDNA	-0.93883603	-0.89665281	D. setchellii	DUD	Dude Rock	main_standard	D. setchellii_DUD
DUD_LP_135_Du-286	mtDNA	-0.93883603	-0.89665281	D. setchellii	DUD	Dude Rock	main_standard	D. setchellii_DUD
DUD_LP_136_Du-287	mtDNA	-0.93883603	-0.89665281	D. setchellii	DUD	Dude Rock	main_standard	D. setchellii_DUD
DUD_LP_137_Du-288	mtDNA	-0.75857676	-1.30527379	D. setchellii	DUD	Dude Rock	main_standard	D. setchellii_DUD
DUD_LP_138_Du-289	mtDNA	-0.93883603	-0.89665281	D. setchellii	DUD	Dude Rock	main_standard	D. setchellii_DUD
DUD_LP_139_Du-290	mtDNA	-0.93883603	-0.89665281	D. setchellii	DUD	Dude Rock	main_standard	D. setchellii_DUD
KIRN_LP_179_Du-421	mtDNA	-0.91927676	-1.14761778	D. setchellii	KIRN	Kirby N. Rd. Canyon	main_standard	D. setchellii_KIRN
KIRN_LP_180_Du-422	mtDNA	-0.91927676	-1.14761778	D. setchellii	KIRN	Kirby N. Rd. Canyon	main_standard	D. setchellii_KIRN
KIRN_LP_181_Du-423	mtDNA	-0.91927676	-1.14761778	D. setchellii	KIRN	Kirby N. Rd. Canyon	main_standard	D. setchellii_KIRN
KIRN_LP_182_Du-424	mtDNA	-0.91927676	-1.14761778	D. setchellii	KIRN	Kirby N. Rd. Canyon	main_standard	D. setchellii_KIRN
KIRN_LP_183_Du-425	mtDNA	-0.91927676	-1.14761778	D. setchellii	KIRN	Kirby N. Rd. Canyon	main_standard	D. setchellii_KIRN
KIRN_LP_184_Du-426	mtDNA	-0.91927676	-1.14761778	D. setchellii	KIRN	Kirby N. Rd. Canyon	main_standard	D. setchellii_KIRN
KIRN_LP_185_Du-427	mtDNA	-0.91927676	-1.14761778	D. setchellii	KIRN	Kirby N. Rd. Canyon	main_standard	D. setchellii_KIRN
KIRN_LP_186_Du-428	mtDNA	-0.91927676	-1.14761778	D. setchellii	KIRN	Kirby N. Rd. Canyon	main_standard	D. setchellii_KIRN
KIRN_LP_187_Du-429	mtDNA	-0.91927676	-1.14761778	D. setchellii	KIRN	Kirby N. Rd. Canyon	main_standard	D. setchellii_KIRN
KIRT_LP_159_Du-364	mtDNA	-0.91927676	-1.14761778	D. setchellii	KIRT	KC Transect	main_standard	D. setchellii_KIRT
KIRT_LP_160_Du-365	mtDNA	-0.91927676	-1.14761778	D. setchellii	KIRT	KC Transect	main_standard	D. setchellii_KIRT
KIRT_LP_161_Du-366	mtDNA	-0.91927676	-1.14761778	D. setchellii	KIRT	KC Transect	main_standard	D. setchellii_KIRT
KIRT_LP_162_Du-367	mtDNA	-0.91927676	-1.14761778	D. setchellii	KIRT	KC Transect	main_standard	D. setchellii_KIRT
KIRT_LP_163_Du-368	mtDNA	-0.91927676	-1.14761778	D. setchellii	KIRT	KC Transect	main_standard	D. setchellii_KIRT
KIRT_LP_164_Du-369	mtDNA	-0.91927676	-1.14761778	D. setchellii	KIRT	KC Transect	main_standard	D. setchellii_KIRT
KIRT_LP_165_Du-370	mtDNA	-0.91927676	-1.14761778	D. setchellii	KIRT	KC Transect	main_standard	D. setchellii_KIRT
KIRT_LP_166_Du-371	mtDNA	-0.91927676	-1.14761778	D. setchellii	KIRT	KC Transect	main_standard	D. setchellii_KIRT
KIRT_LP_167_Du-372	mtDNA	-0.91927676	-1.14761778	D. setchellii	KIRT	KC Transect	main_standard	D. setchellii_KIRT
KIRT_LP_168_Du-373	mtDNA	-0.91927676	-1.14761778	D. setchellii	KIRT	KC Transect	main_standard	D. setchellii_KIRT
MALV_LP_095_Du-201	mtDNA	-0.93218065	-1.18795023	D. setchellii	MALV	Malech Vista	main_standard	D. setchellii_MALV
MALV_LP_096_Du-202	mtDNA	-0.93218065	-1.18795023	D. setchellii	MALV	Malech Vista	main_standard	D. setchellii_MALV
MALV_LP_097_Du-203	mtDNA	-0.93218065	-1.18795023	D. setchellii	MALV	Malech Vista	main_standard	D. setchellii_MALV
MALV_LP_098_Du-204	mtDNA	-0.93218065	-1.18795023	D. setchellii	MALV	Malech Vista	main_standard	D. setchellii_MALV
MALV_LP_099_Du-205	mtDNA	-0.93218065	-1.18795023	D. setchellii	MALV	Malech Vista	main_standard	D. setchellii_MALV
MALV_LP_100_Du-206	mtDNA	-0.93218065	-1.18795023	D. setchellii	MALV	Malech Vista	main_standard	D. setchellii_MALV
MALV_LP_101_Du-207	mtDNA	-0.93218065	-1.18795023	D. setchellii	MALV	Malech Vista	main_standard	D. setchellii_MALV
MALV_LP_102_Du-208	mtDNA	-0.93218065	-1.18795023	D. setchellii	MALV	Malech Vista	main_standard	D. setchellii_MALV
MALV_LP_103_Du-209	mtDNA	-0.93218065	-1.18795023	D. setchellii	MALV	Malech Vista	main_standard	D. setchellii_MALV
MALV_LP_104_Du-210	mtDNA	-0.93218065	-1.18795023	D. setchellii	MALV	Malech Vista	main_standard	D. setchellii_MALV
OCO_LP_058_Du-115	mtDNA	4.73028236	-0.99553452	D. setchellii	OCO	O'Connell Ranch Pacheco Pass	main_standard	D. setchellii_OCO
